#,title,artist,top genre,year,bpm
1,"Hey, Soul Sister",Train,neo mellow,2010,97
2,Love The Way You Lie,Eminem,detroit hip hop,2010,87
3,TiK ToK,Kesha,dance pop,2010,120
4,Bad Romance,Lady Gaga,dance pop,2010,119
5,Just the Way You Are,Bruno Mars,pop,2010,109
6,Baby,Justin Bieber,canadian pop,2010,65
7,Dynamite,Taio Cruz,dance pop,2010,120
8,Secrets,OneRepublic,dance pop,2010,148
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93
10,Only Girl (In The World),Rihanna,barbadian pop,2010,126
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128
12,Marry You,Bruno Mars,pop,2010,145
13,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130
14,Telephone,Lady Gaga,dance pop,2010,122
15,Like A G6,Far East Movement,dance pop,2010,125
16,OMG (feat. will.i.am),Usher,atl hip hop,2010,130
17,Eenie Meenie,Sean Kingston,dance pop,2010,121
18,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128
19,Alejandro,Lady Gaga,dance pop,2010,99
20,Your Love Is My Drug,Kesha,dance pop,2010,120
21,Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130
22,Whataya Want from Me,Adam Lambert,australian pop,2010,186
23,Take It Off,Kesha,dance pop,2010,125
24,Misery,Maroon 5,pop,2010,103
25,All The Right Moves,OneRepublic,dance pop,2010,146
26,Animal,Neon Trees,indie pop,2010,148
27,Naturally,Selena Gomez & The Scene,dance pop,2010,133
28,I Like It,Enrique Iglesias,dance pop,2010,129
29,Teenage Dream,Katy Perry,dance pop,2010,120
30,California Gurls,Katy Perry,dance pop,2010,125
31,3,Britney Spears,dance pop,2010,135
32,My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138
33,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120
34,Imma Be,The Black Eyed Peas,dance pop,2010,92
35,Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111
36,Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130
37,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164
38,If I Had You,Adam Lambert,australian pop,2010,131
39,Rock That Body,The Black Eyed Peas,dance pop,2010,125
40,Dog Days Are Over,Florence + The Machine,art pop,2010,150
41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150
42,Doesn't Mean Anything,Alicia Keys,hip pop,2010,104
43,Hard,Rihanna,barbadian pop,2010,182
44,Loca,Shakira,colombian pop,2010,112
45,You Lost Me,Christina Aguilera,dance pop,2010,43
46,Not Myself Tonight,Christina Aguilera,dance pop,2010,120
47,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91
48,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120
49,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80
50,Break Your Heart,Taio Cruz,dance pop,2010,122
51,Hello,Martin Solveig,big room,2010,128
52,A Thousand Years,Christina Perri,dance pop,2011,139
53,Someone Like You,Adele,british soul,2011,135
54,Give Me Everything,Pitbull,dance pop,2011,129
55,Just the Way You Are,Bruno Mars,pop,2011,109
56,Rolling in the Deep,Adele,british soul,2011,105
57,Run the World (Girls),Beyonc�,dance pop,2011,127
58,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128
59,Love On Top,Beyonc�,dance pop,2011,94
60,Grenade,Bruno Mars,pop,2011,110
61,Tonight Tonight,Hot Chelle Rae,dance pop,2011,100
62,What the Hell,Avril Lavigne,canadian pop,2011,150
63,Born This Way,Lady Gaga,dance pop,2011,124
64,Monster,Kanye West,chicago rap,2011,125
65,Marry You,Bruno Mars,pop,2011,145
66,Best Thing I Never Had,Beyonc�,dance pop,2011,99
67,Party Rock Anthem,LMFAO,dance pop,2011,130
68,We R Who We R,Kesha,dance pop,2011,120
69,Price Tag,Jessie J,australian pop,2011,175
70,Good Life,OneRepublic,dance pop,2011,95
71,Just Can�t Get Enough,The Black Eyed Peas,dance pop,2011,94
72,On The Floor,Jennifer Lopez,dance pop,2011,130
73,What's My Name?,Rihanna,barbadian pop,2011,100
74,Yeah 3x,Chris Brown,dance pop,2011,130
75,Without You (feat. Usher),David Guetta,dance pop,2011,128
76,Sexy And I Know It,LMFAO,dance pop,2011,130
77,The Edge Of Glory,Lady Gaga,dance pop,2011,128
78,E.T.,Katy Perry,dance pop,2011,152
79,Till the World Ends,Britney Spears,dance pop,2011,132
80,I Wanna Go,Britney Spears,dance pop,2011,130
81,Blow,Kesha,dance pop,2011,120
82,You And I,Lady Gaga,dance pop,2011,127
83,Judas,Lady Gaga,dance pop,2011,131
84,Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126
85,Please Don't Go,Mike Posner,dance pop,2011,120
86,We Found Love,Rihanna,barbadian pop,2011,128
87,Marry The Night,Lady Gaga,dance pop,2011,131
88,1+1,Beyonc�,dance pop,2011,63
89,Hold It Against Me,Britney Spears,dance pop,2011,133
90,I'm Into You,Jennifer Lopez,dance pop,2011,84
91,Papi,Jennifer Lopez,dance pop,2011,120
92,Cheers (Drink To That),Rihanna,barbadian pop,2011,80
93,S&M Remix,Rihanna,barbadian pop,2011,128
94,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91
95,Jar of Hearts,Christina Perri,dance pop,2011,75
96,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80
97,Turning Page,Sleeping At Last,acoustic pop,2011,125
98,Super Bass,Nicki Minaj,dance pop,2011,127
99,Raise Your Glass,P!nk,dance pop,2011,122
100,Invading My Mind,Jennifer Lopez,dance pop,2011,129
101,Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130
102,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126
103,Firework,Katy Perry,dance pop,2011,124
104,Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98
105,Titanium (feat. Sia),David Guetta,dance pop,2012,126
106,Locked Out of Heaven,Bruno Mars,pop,2012,144
107,Paradise,Coldplay,permanent wave,2012,140
108,Payphone,Maroon 5,pop,2012,110
109,What Makes You Beautiful,One Direction,boy band,2012,125
110,I Knew You Were Trouble.,Taylor Swift,pop,2012,77
111,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120
112,Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117
113,Set Fire to the Rain,Adele,british soul,2012,108
114,We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86
115,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116
116,Try,P!nk,dance pop,2012,104
117,Starships,Nicki Minaj,dance pop,2012,125
118,One More Night,Maroon 5,pop,2012,93
119,Good Time,Owl City,pop,2012,126
120,Glad You Came,The Wanted,boy band,2012,127
121,Beauty And A Beat,Justin Bieber,canadian pop,2012,128
122,International Love,Pitbull,dance pop,2012,120
123,Some Nights,fun.,baroque pop,2012,108
124,Boyfriend,Justin Bieber,canadian pop,2012,97
125,Part Of Me,Katy Perry,dance pop,2012,130
126,Domino,Jessie J,australian pop,2012,127
127,Where Have You Been,Rihanna,barbadian pop,2012,128
128,Wide Awake,Katy Perry,dance pop,2012,160
129,The One That Got Away,Katy Perry,dance pop,2012,134
130,Dance Again,Jennifer Lopez,dance pop,2012,128
131,Turn Up the Music,Chris Brown,dance pop,2012,130
132,Lights - Single Version,Ellie Goulding,dance pop,2012,120
133,We Are Young (feat. Janelle Mon�e),fun.,baroque pop,2012,184
134,Diamonds,Rihanna,barbadian pop,2012,92
135,Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127
136,You Da One,Rihanna,barbadian pop,2012,127
137,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90
138,It Will Rain,Bruno Mars,pop,2012,150
139,Blow Me (One Last Kiss),P!nk,dance pop,2012,114
140,Underneath the Tree,Kelly Clarkson,dance pop,2013,160
141,Wake Me Up,Avicii,big room,2013,124
142,Story of My Life,One Direction,boy band,2013,121
143,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95
144,Hall of Fame,The Script,celtic rock,2013,85
145,Roar,Katy Perry,dance pop,2013,180
146,We Can't Stop,Miley Cyrus,dance pop,2013,80
147,Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129
148,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116
149,Wrecking Ball,Miley Cyrus,dance pop,2013,120
150,Impossible,James Arthur,pop,2013,170
151,Blurred Lines,Robin Thicke,dance pop,2013,120
152,Heart Attack,Demi Lovato,dance pop,2013,174
153,We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86
154,Die Young,Kesha,dance pop,2013,128
155,Clarity,Zedd,complextro,2013,128
156,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126
157,Under Control,Calvin Harris,dance pop,2013,126
158,Everybody Talks,Neon Trees,indie pop,2013,155
159,"Hold On, We're Going Home",Drake,canadian hip hop,2013,100
160,Best Song Ever,One Direction,boy band,2013,118
161,Kiss You,One Direction,boy band,2013,90
162,Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128
163,Lose Yourself to Dance,Daft Punk,electro,2013,100
164,Work Bitch,Britney Spears,dance pop,2013,128
165,Brave,Sara Bareilles,acoustic pop,2013,185
166,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146
167,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136
168,Beneath Your Beautiful,Labrinth,pop,2013,84
169,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125
170,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95
171,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126
172,The Way,Ariana Grande,dance pop,2013,82
173,Suit & Tie,Justin Timberlake,dance pop,2013,102
174,#thatPOWER,will.i.am,dance pop,2013,128
175,I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126
176,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130
177,Daylight,Maroon 5,pop,2013,120
178,Love Somebody,Maroon 5,pop,2013,120
179,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130
180,Move,Little Mix,dance pop,2013,121
181,Walks Like Rihanna,The Wanted,boy band,2013,126
182,Rock N Roll,Avril Lavigne,canadian pop,2013,184
183,Heartbreaker,Justin Bieber,canadian pop,2013,105
184,Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77
185,Next To Me,Emeli Sand�,dance pop,2013,95
186,Made In The USA,Demi Lovato,dance pop,2013,87
187,Clown,Emeli Sand�,dance pop,2013,130
188,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93
189,TKO,Justin Timberlake,dance pop,2013,138
190,Come & Get It,Selena Gomez,dance pop,2013,80
191,Live It Up,Jennifer Lopez,dance pop,2013,128
192,We Own The Night,The Wanted,boy band,2013,104
193,Atlas - From �The Hunger Games: Catching Fire� Soundtrack,Coldplay,permanent wave,2013,136
194,What About Love,Austin Mahone,dance pop,2013,100
195,Take Back the Night,Justin Timberlake,dance pop,2013,107
196,Applause,Lady Gaga,dance pop,2013,140
197,Anything Could Happen,Ellie Goulding,dance pop,2013,103
198,Finally Found You,Enrique Iglesias,dance pop,2013,128
199,Pom Poms,Jonas Brothers,boy band,2013,148
200,#Beautiful,Mariah Carey,dance pop,2013,107
201,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201
202,Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128
203,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128
204,People Like Us,Kelly Clarkson,dance pop,2013,128
205,Overdose,Ciara,dance pop,2013,107
206,Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130
207,Give It 2 U,Robin Thicke,dance pop,2013,127
208,Foolish Games,Jewel,alaska indie,2013,132
209,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95
210,Freak,Kelly Rowland,atl hip hop,2013,104
211,All of Me,John Legend,neo mellow,2014,120
212,Stay With Me,Sam Smith,pop,2014,84
213,Summer,Calvin Harris,dance pop,2014,128
214,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160
215,Rude,MAGIC!,pop,2014,144
216,Shake It Off,Taylor Swift,pop,2014,160
217,Dark Horse,Katy Perry,dance pop,2014,132
218,Hey Brother,Avicii,big room,2014,125
219,Maps,Maroon 5,pop,2014,120
220,Treasure,Bruno Mars,pop,2014,116
221,Let Her Go,Passenger,folk-pop,2014,75
222,Problem,Ariana Grande,dance pop,2014,103
223,Pompeii,Bastille,metropopolis,2014,127
224,Team,Lorde,art pop,2014,100
225,Love Me Again,John Newman,pop,2014,126
226,Latch,Disclosure,house,2014,122
227,Adore You,Miley Cyrus,dance pop,2014,120
228,Love Never Felt So Good,Michael Jackson,pop,2014,118
229,Burn,Ellie Goulding,dance pop,2014,87
230,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160
231,Fancy,Iggy Azalea,australian hip hop,2014,95
232,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100
233,Gorilla,Bruno Mars,pop,2014,140
234,human,Christina Perri,dance pop,2014,144
235,Young Girls,Bruno Mars,pop,2014,126
236,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82
237,Love Runs Out,OneRepublic,dance pop,2014,120
238,This Is How We Do,Katy Perry,dance pop,2014,96
239,Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126
240,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130
241,#SELFIE,The Chainsmokers,electropop,2014,128
242,Partition,Beyonc�,dance pop,2014,186
243,Birthday,Katy Perry,dance pop,2014,126
244,G.U.Y.,Lady Gaga,dance pop,2014,110
245,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128
246,"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140
247,Wings,Birdy,neo mellow,2014,83
248,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138
249,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192
250,Say Something,A Great Big World,neo mellow,2014,138
251,A Sky Full of Stars,Coldplay,permanent wave,2014,125
252,Come Get It Bae,Pharrell Williams,dance pop,2014,120
253,Chandelier,Sia,australian dance,2014,174
254,XO,Beyonc�,dance pop,2014,170
255,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125
256,Not About Angels,Birdy,neo mellow,2014,116
257,Drunk in Love,Beyonc�,dance pop,2014,140
258,Anaconda,Nicki Minaj,dance pop,2014,130
259,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr�ter,Charli XCX,candy pop,2014,92
260,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128
261,Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76
262,Words as Weapons,Birdy,neo mellow,2014,120
263,You're Mine (Eternal),Mariah Carey,dance pop,2014,149
264,Sheezus,Lily Allen,dance pop,2014,130
265,Cannonball,Lea Michele,hollywood,2014,92
266,It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110
267,I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96
268,Not a Bad Thing,Justin Timberlake,dance pop,2014,86
269,Thinking out Loud,Ed Sheeran,pop,2015,79
270,I'm Not The Only One,Sam Smith,pop,2015,82
271,The Hills,The Weeknd,canadian contemporary r&b,2015,113
272,Love Yourself,Justin Bieber,canadian pop,2015,100
273,Uptown Funk,Mark Ronson,dance pop,2015,115
274,Take Me To Church,Hozier,irish singer-songwriter,2015,129
275,Sugar,Maroon 5,pop,2015,120
276,Sorry,Justin Bieber,canadian pop,2015,100
277,FourFiveSeconds,Rihanna,barbadian pop,2015,206
278,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190
279,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120
280,What Do You Mean?,Justin Bieber,canadian pop,2015,125
281,Stitches,Shawn Mendes,canadian pop,2015,150
282,Want to Want Me,Jason Derulo,dance pop,2015,114
283,My House,Flo Rida,dance pop,2015,94
284,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120
285,Night Changes,One Direction,boy band,2015,120
286,How Deep Is Your Love,Calvin Harris,dance pop,2015,122
287,Never Forget You,Zara Larsson,dance pop,2015,146
288,Love Me Harder,Ariana Grande,dance pop,2015,99
289,Animals,Maroon 5,pop,2015,190
290,Blame,Calvin Harris,dance pop,2015,128
291,Worth It,Fifth Harmony,dance pop,2015,100
292,Break Free,Ariana Grande,dance pop,2015,130
293,Don't,Ed Sheeran,pop,2015,95
294,Elastic Heart,Sia,australian dance,2015,130
295,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121
296,Hello,Adele,british soul,2015,158
297,Dear Future Husband,Meghan Trainor,dance pop,2015,79
298,43776,Beyonc�,dance pop,2015,136
299,The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83
300,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86
301,Genie In a Bottle,Christina Aguilera,dance pop,2015,176
302,Company,Justin Bieber,canadian pop,2015,95
303,Sing,Ed Sheeran,pop,2015,120
